region,animal,decoder,contrast,alignment,auc_total,auc_-2.45_-1.95s,auc_-1.95_-1.45s,auc_-1.45_-0.95s,auc_-0.95_-0.45s,auc_-0.45_0.05s,auc_0.05_0.55s,auc_0.55_1.05s,auc_1.05_1.55s,auc_1.55_2.05s,auc_2.05_2.45s
BG,1_CoteDor,SVM,Push / Pull,Init,3.3856,0.2712,0.2707,0.2742,0.2744,0.3204,0.3488,0.3916,0.388,0.3962,0.3122
BG,1_CoteDor,SVM,Push / Pull,Reach,3.3692,0.3113,0.3157,0.3259,0.3364,0.3402,0.3507,0.3371,0.3211,0.3317,0.2582
BG,1_CoteDor,SVM,Dominant,Init,3.1561,0.2813,0.2751,0.2756,0.284,0.3139,0.3439,0.3455,0.3331,0.3306,0.244
BG,1_CoteDor,SVM,Dominant,Reach,3.3421,0.2972,0.3013,0.3212,0.3567,0.3983,0.3554,0.3206,0.3048,0.305,0.239
BG,1_CoteDor,SVM,Center,Init,2.9365,0.2674,0.2686,0.2628,0.2683,0.3001,0.3133,0.314,0.2939,0.2961,0.23
BG,1_CoteDor,SVM,Center,Reach,2.9244,0.2678,0.2731,0.2669,0.3003,0.3209,0.3064,0.2904,0.2715,0.2808,0.2225
BG,1_CoteDor,SVM,Non-dominant,Init,2.9725,0.2616,0.2669,0.2626,0.2724,0.2954,0.3256,0.3278,0.3065,0.2979,0.2324
BG,1_CoteDor,SVM,Non-dominant,Reach,3.1358,0.2887,0.2875,0.3073,0.3363,0.3658,0.3338,0.2926,0.2719,0.2904,0.2305
BG,1_CoteDor,LDA,Push / Pull,Init,3.1585,0.26,0.26,0.2629,0.2658,0.3029,0.3168,0.3541,0.3603,0.3624,0.2837
BG,1_CoteDor,LDA,Push / Pull,Reach,3.0306,0.2881,0.2874,0.295,0.3013,0.2985,0.3072,0.297,0.2916,0.3011,0.2372
BG,1_CoteDor,LDA,Dominant,Init,2.9132,0.2659,0.2652,0.2613,0.2651,0.2862,0.3119,0.3075,0.2988,0.3006,0.2312
BG,1_CoteDor,LDA,Dominant,Reach,3.0679,0.277,0.2796,0.2958,0.32,0.3562,0.3169,0.2941,0.2839,0.2872,0.2281
BG,1_CoteDor,LDA,Center,Init,2.7824,0.2593,0.2597,0.2542,0.26,0.2773,0.2853,0.2871,0.2795,0.2833,0.2224
BG,1_CoteDor,LDA,Center,Reach,2.8086,0.2604,0.2629,0.264,0.2828,0.2971,0.2858,0.2759,0.265,0.2772,0.2193
BG,1_CoteDor,LDA,Non-dominant,Init,2.779,0.2548,0.2561,0.2535,0.2577,0.2728,0.291,0.2953,0.2826,0.2795,0.2212
BG,1_CoteDor,LDA,Non-dominant,Reach,2.8746,0.2672,0.2674,0.2768,0.3001,0.3196,0.2983,0.2714,0.2594,0.2757,0.2185
BG,1_CoteDor,Naive Bayes,Push / Pull,Init,3.2484,0.2611,0.2584,0.268,0.2644,0.3035,0.3255,0.3834,0.3768,0.3769,0.2973
