region,animal,decoder,contrast,alignment,auc_total,auc_-2.45_-1.95s,auc_-1.95_-1.45s,auc_-1.45_-0.95s,auc_-0.95_-0.45s,auc_-0.45_0.05s,auc_0.05_0.55s,auc_0.55_1.05s,auc_1.05_1.55s,auc_1.55_2.05s,auc_2.05_2.45s
CB,1_CoteDor,SVM,Push / Pull,Init,3.5225,0.3013,0.2984,0.287,0.2841,0.3395,0.3565,0.3815,0.4008,0.4083,0.3222
CB,1_CoteDor,SVM,Push / Pull,Reach,3.7414,0.343,0.3551,0.3649,0.3715,0.3781,0.3725,0.3612,0.3599,0.373,0.3086
CB,1_CoteDor,SVM,Dominant,Init,3.3332,0.3028,0.3004,0.2931,0.2991,0.3276,0.3451,0.3462,0.3396,0.3629,0.2821
CB,1_CoteDor,SVM,Dominant,Reach,3.55,0.3011,0.3201,0.348,0.3697,0.3938,0.3774,0.3537,0.3316,0.3386,0.2678
CB,1_CoteDor,SVM,Center,Init,3.0745,0.29,0.2853,0.2836,0.2822,0.295,0.3071,0.3212,0.3141,0.3195,0.2489
CB,1_CoteDor,SVM,Center,Reach,3.3023,0.2944,0.3072,0.31,0.3176,0.3449,0.3453,0.3307,0.3146,0.3313,0.268
CB,1_CoteDor,SVM,Non-dominant,Init,3.1526,0.2891,0.2814,0.2782,0.2762,0.3037,0.3234,0.3305,0.336,0.3413,0.2633
CB,1_CoteDor,SVM,Non-dominant,Reach,3.3633,0.2722,0.2945,0.3326,0.3566,0.3839,0.3748,0.3295,0.3061,0.3146,0.2564
CB,1_CoteDor,LDA,Push / Pull,Init,3.4279,0.2941,0.2909,0.2836,0.2772,0.3292,0.3468,0.3703,0.3894,0.3963,0.3115
CB,1_CoteDor,LDA,Push / Pull,Reach,3.3553,0.3137,0.3167,0.3267,0.3347,0.3371,0.3298,0.3193,0.3249,0.3394,0.2762
CB,1_CoteDor,LDA,Dominant,Init,3.1035,0.2816,0.2823,0.2805,0.2829,0.3026,0.3158,0.3178,0.315,0.3391,0.2607
CB,1_CoteDor,LDA,Dominant,Reach,3.2146,0.2827,0.2892,0.3102,0.3347,0.3543,0.3358,0.3191,0.2994,0.309,0.2464
CB,1_CoteDor,LDA,Center,Init,2.9427,0.2797,0.2767,0.2756,0.2745,0.2803,0.2881,0.3022,0.2972,0.3074,0.2394
CB,1_CoteDor,LDA,Center,Reach,3.1018,0.2812,0.2867,0.2903,0.2969,0.324,0.3198,0.307,0.2961,0.3166,0.2548
CB,1_CoteDor,LDA,Non-dominant,Init,3.0171,0.2834,0.2732,0.2722,0.2709,0.2917,0.3021,0.3085,0.3175,0.3255,0.2491
CB,1_CoteDor,LDA,Non-dominant,Reach,3.1007,0.2654,0.2783,0.304,0.3201,0.3433,0.3355,0.3007,0.2846,0.2988,0.2419
CB,1_CoteDor,Naive Bayes,Push / Pull,Init,3.419,0.2797,0.2769,0.2694,0.272,0.3256,0.3514,0.385,0.3948,0.4053,0.3214
CB,1_CoteDor,Naive Bayes,Push / Pull,Reach,3.4199,0.3133,0.3223,0.3289,0.3414,0.351,0.3512,0.3344,0.3269,0.3367,0.273
CB,1_CoteDor,Naive Bayes,Dominant,Init,3.1377,0.2784,0.2756,0.2746,0.2808,0.3215,0.3305,0.3406,0.3204,0.3341,0.2535
CB,1_CoteDor,Naive Bayes,Dominant,Reach,3.3189,0.2883,0.3082,0.3391,0.355,0.3695,0.344,0.3184,0.3024,0.3112,0.2435
CB,1_CoteDor,Naive Bayes,Center,Init,2.8326,0.2637,0.2587,0.2607,0.2635,0.2876,0.2855,0.3004,0.2867,0.2855,0.2241
CB,1_CoteDor,Naive Bayes,Center,Reach,2.9575,0.2718,0.2804,0.2789,0.2846,0.3113,0.3097,0.2899,0.2749,0.2938,0.2388
CB,1_CoteDor,Naive Bayes,Non-dominant,Init,2.9534,0.2629,0.2512,0.2535,0.2577,0.2906,0.3083,0.3196,0.3218,0.3254,0.2411
CB,1_CoteDor,Naive Bayes,Non-dominant,Reach,3.1488,0.2616,0.288,0.3194,0.35,0.3557,0.3465,0.2924,0.2757,0.2887,0.2395
CB,1_CoteDor,Kalman,Push / Pull,Init,3.5317,0.2986,0.2989,0.2918,0.2854,0.3324,0.3563,0.3865,0.3994,0.4159,0.3245
CB,1_CoteDor,Kalman,Push / Pull,Reach,3.638,0.3358,0.3435,0.3502,0.3431,0.3733,0.3666,0.3566,0.3575,0.3653,0.2945
CB,1_CoteDor,Kalman,Dominant,Init,3.3806,0.3053,0.3134,0.3032,0.3041,0.3348,0.3517,0.3566,0.3358,0.3592,0.2786
CB,1_CoteDor,Kalman,Dominant,Reach,3.5447,0.3092,0.3281,0.3468,0.3636,0.3921,0.3654,0.3482,0.3368,0.3388,0.2675
CB,1_CoteDor,Kalman,Center,Init,3.1455,0.2945,0.2974,0.29,0.2858,0.314,0.3139,0.3266,0.3168,0.3213,0.2558
CB,1_CoteDor,Kalman,Center,Reach,3.3569,0.3036,0.309,0.3222,0.3179,0.344,0.3422,0.3384,0.3316,0.3393,0.2693
CB,1_CoteDor,Kalman,Non-dominant,Init,3.1399,0.2801,0.277,0.2753,0.2808,0.313,0.3198,0.3321,0.3295,0.3402,0.2639
CB,1_CoteDor,Kalman,Non-dominant,Reach,3.3785,0.2778,0.3076,0.3334,0.36,0.3753,0.3668,0.3361,0.306,0.3183,0.2561
CB,2_Lindt,SVM,Push / Pull,Init,3.2732,0.267,0.2637,0.2699,0.2749,0.3255,0.338,0.3676,0.3725,0.3734,0.2872
CB,2_Lindt,SVM,Push / Pull,Reach,3.4086,0.3132,0.3185,0.3277,0.3382,0.3535,0.3545,0.3253,0.3218,0.3435,0.2718
CB,2_Lindt,SVM,Dominant,Init,3.3629,0.2896,0.2851,0.295,0.3029,0.33,0.356,0.3767,0.3563,0.3572,0.2769
CB,2_Lindt,SVM,Dominant,Reach,3.4827,0.3002,0.3187,0.3531,0.3711,0.3959,0.393,0.3315,0.3068,0.3177,0.2486
CB,2_Lindt,SVM,Center,Init,3.1899,0.2793,0.2779,0.2904,0.2961,0.324,0.3432,0.3435,0.3214,0.3238,0.2588
CB,2_Lindt,SVM,Center,Reach,3.1023,0.2742,0.2966,0.3059,0.3143,0.3284,0.3372,0.3039,0.2831,0.291,0.2393
CB,2_Lindt,SVM,Non-dominant,Init,3.3321,0.2891,0.2959,0.3002,0.2956,0.3238,0.3576,0.3684,0.3446,0.3492,0.2701
CB,2_Lindt,SVM,Non-dominant,Reach,3.5713,0.3034,0.3337,0.3621,0.3703,0.3854,0.3917,0.3423,0.3317,0.3395,0.263
CB,2_Lindt,LDA,Push / Pull,Init,3.2195,0.2666,0.2643,0.2683,0.2741,0.3182,0.3294,0.3612,0.3642,0.3652,0.2772
