region,animal,session,n_neurons,contrast,alignment,peak_BAC
BG,1_CoteDor,R2,82,Push / Pull,Init,0.9302
BG,1_CoteDor,R2,82,Push / Pull,Reach,0.811
BG,1_CoteDor,R2,82,Dominant,Init,0.7721
BG,1_CoteDor,R2,82,Dominant,Reach,0.9384
BG,1_CoteDor,R2,82,Center,Init,0.712
BG,1_CoteDor,R2,82,Center,Reach,0.7757
BG,1_CoteDor,R2,82,Non-dominant,Init,0.7536
BG,1_CoteDor,R2,82,Non-dominant,Reach,0.938
BG,1_CoteDor,R3,57,Push / Pull,Init,0.6802
BG,1_CoteDor,R3,57,Push / Pull,Reach,0.797
BG,1_CoteDor,R3,57,Dominant,Init,0.8103
BG,1_CoteDor,R3,57,Dominant,Reach,0.8902
BG,1_CoteDor,R3,57,Center,Init,0.7675
BG,1_CoteDor,R3,57,Center,Reach,0.7714
BG,1_CoteDor,R3,57,Non-dominant,Init,0.7147
BG,1_CoteDor,R3,57,Non-dominant,Reach,0.786
BG,1_CoteDor,R4,108,Push / Pull,Init,0.9607
BG,1_CoteDor,R4,108,Push / Pull,Reach,0.8426
BG,1_CoteDor,R4,108,Dominant,Init,0.9481
BG,1_CoteDor,R4,108,Dominant,Reach,0.9841
BG,1_CoteDor,R4,108,Center,Init,0.8595
BG,1_CoteDor,R4,108,Center,Reach,0.8384
BG,1_CoteDor,R4,108,Non-dominant,Init,0.8908
BG,1_CoteDor,R4,108,Non-dominant,Reach,0.9829
BG,1_CoteDor,R6,141,Push / Pull,Init,0.9051
BG,1_CoteDor,R6,141,Push / Pull,Reach,0.8651
BG,1_CoteDor,R6,141,Dominant,Init,0.8682
BG,1_CoteDor,R6,141,Dominant,Reach,0.9599
BG,1_CoteDor,R6,141,Center,Init,0.8246
BG,1_CoteDor,R6,141,Center,Reach,0.78
BG,1_CoteDor,R6,141,Non-dominant,Init,0.8454
BG,1_CoteDor,R6,141,Non-dominant,Reach,0.873
BG,1_CoteDor,R7,102,Push / Pull,Init,0.8933
BG,1_CoteDor,R7,102,Push / Pull,Reach,0.9006
BG,1_CoteDor,R7,102,Dominant,Init,0.7269
