region,animal,session,k_neurons,n_available,mean_peak_BAC,sem_peak_BAC
BG,1_CoteDor,R2,5,82,0.6898,0.0108
BG,1_CoteDor,R2,10,82,0.7227,0.0071
BG,1_CoteDor,R2,20,82,0.7591,0.0084
BG,1_CoteDor,R2,40,82,0.7989,0.0062
BG,1_CoteDor,R2,80,82,0.8201,0.0031
BG,1_CoteDor,R3,5,57,0.6524,0.0128
BG,1_CoteDor,R3,10,57,0.7095,0.0081
BG,1_CoteDor,R3,20,57,0.7507,0.0058
BG,1_CoteDor,R3,40,57,0.7932,0.0034
BG,1_CoteDor,R4,5,108,0.5659,0.0087
BG,1_CoteDor,R4,10,108,0.6241,0.0101
BG,1_CoteDor,R4,20,108,0.6848,0.0085
BG,1_CoteDor,R4,40,108,0.7586,0.0078
BG,1_CoteDor,R4,80,108,0.806,0.0046
BG,1_CoteDor,R6,5,141,0.6377,0.0103
BG,1_CoteDor,R6,10,141,0.6903,0.0087
BG,1_CoteDor,R6,20,141,0.7367,0.0064
BG,1_CoteDor,R6,40,141,0.7744,0.0074
BG,1_CoteDor,R6,80,141,0.8097,0.0045
BG,1_CoteDor,R7,5,102,0.6535,0.0098
BG,1_CoteDor,R7,10,102,0.7179,0.014
BG,1_CoteDor,R7,20,102,0.769,0.011
BG,1_CoteDor,R7,40,102,0.7966,0.0075
BG,1_CoteDor,R7,80,102,0.8798,0.0064
BG,2_Lindt,R1,5,106,0.6391,0.0099
BG,2_Lindt,R1,10,106,0.6756,0.0112
BG,2_Lindt,R1,20,106,0.7291,0.0077
BG,2_Lindt,R1,40,106,0.768,0.0049
BG,2_Lindt,R1,80,106,0.8034,0.0054
BG,2_Lindt,R2,5,104,0.6408,0.008
BG,2_Lindt,R2,10,104,0.68,0.008
BG,2_Lindt,R2,20,104,0.7175,0.0068
BG,2_Lindt,R2,40,104,0.7658,0.0053
BG,2_Lindt,R2,80,104,0.7928,0.004
BG,2_Lindt,R3,5,182,0.5906,0.015
BG,2_Lindt,R3,10,182,0.6176,0.0178
BG,2_Lindt,R3,20,182,0.715,0.0115
BG,2_Lindt,R3,40,182,0.7922,0.0108
BG,2_Lindt,R3,80,182,0.828,0.007
BG,2_Lindt,R3,160,182,0.8493,0.0043
BG,2_Lindt,R4,5,136,0.6964,0.0143
BG,2_Lindt,R4,10,136,0.7516,0.0151
BG,2_Lindt,R4,20,136,0.8026,0.0106
BG,2_Lindt,R4,40,136,0.8596,0.0067
BG,2_Lindt,R4,80,136,0.9146,0.0054
BG,2_Lindt,R5,5,85,0.6722,0.0151
BG,2_Lindt,R5,10,85,0.7486,0.0147
BG,2_Lindt,R5,20,85,0.7917,0.0115
BG,2_Lindt,R5,40,85,0.8207,0.0078
BG,2_Lindt,R5,80,85,0.8576,0.0029
BG,2_Lindt,R6,5,78,0.6572,0.0095
BG,2_Lindt,R6,10,78,0.7036,0.0088
BG,2_Lindt,R6,20,78,0.7283,0.0075
BG,2_Lindt,R6,40,78,0.7536,0.0048
