region,contrast,alignment,decoder_1,decoder_2,peak_BAC_1,peak_BAC_2,winner,W_stat,p_value,significant,n_animals
CB,Push / Pull,Init,SVM,LDA,0.8536,0.837,SVM,1.0,0.125,False,5
CB,Push / Pull,Init,SVM,Naive Bayes,0.8536,0.8285,SVM,0.0,0.0625,False,5
CB,Push / Pull,Init,SVM,Kalman,0.8536,0.8461,SVM,3.0,0.3125,False,5
CB,Push / Pull,Init,LDA,Naive Bayes,0.837,0.8285,LDA,6.0,0.8125,False,5
CB,Push / Pull,Init,LDA,Kalman,0.837,0.8461,Kalman,5.0,0.625,False,5
CB,Push / Pull,Init,Naive Bayes,Kalman,0.8285,0.8461,Kalman,2.0,0.1875,False,5
CB,Push / Pull,Reach,SVM,LDA,0.8224,0.7597,SVM,0.0,0.0625,False,5
CB,Push / Pull,Reach,SVM,Naive Bayes,0.8224,0.7649,SVM,0.0,0.0625,False,5
CB,Push / Pull,Reach,SVM,Kalman,0.8224,0.8144,SVM,5.0,0.625,False,5
CB,Push / Pull,Reach,LDA,Naive Bayes,0.7597,0.7649,Naive Bayes,6.0,0.8125,False,5
CB,Push / Pull,Reach,LDA,Kalman,0.7597,0.8144,Kalman,0.0,0.0625,False,5
CB,Push / Pull,Reach,Naive Bayes,Kalman,0.7649,0.8144,Kalman,1.0,0.125,False,5
CB,Dominant,Init,SVM,LDA,0.8195,0.7787,SVM,1.0,0.125,False,5
CB,Dominant,Init,SVM,Naive Bayes,0.8195,0.7818,SVM,0.0,0.0625,False,5
CB,Dominant,Init,SVM,Kalman,0.8195,0.8243,Kalman,6.0,0.8125,False,5
CB,Dominant,Init,LDA,Naive Bayes,0.7787,0.7818,Naive Bayes,7.0,1.0,False,5
CB,Dominant,Init,LDA,Kalman,0.7787,0.8243,Kalman,2.0,0.1875,False,5
CB,Dominant,Init,Naive Bayes,Kalman,0.7818,0.8243,Kalman,0.0,0.0625,False,5
CB,Dominant,Reach,SVM,LDA,0.9029,0.8414,SVM,0.0,0.0625,False,5
CB,Dominant,Reach,SVM,Naive Bayes,0.9029,0.8568,SVM,0.0,0.0625,False,5
CB,Dominant,Reach,SVM,Kalman,0.9029,0.882,SVM,0.0,0.0625,False,5
CB,Dominant,Reach,LDA,Naive Bayes,0.8414,0.8568,Naive Bayes,4.0,0.4375,False,5
CB,Dominant,Reach,LDA,Kalman,0.8414,0.882,Kalman,0.0,0.0625,False,5
CB,Dominant,Reach,Naive Bayes,Kalman,0.8568,0.882,Kalman,0.0,0.0625,False,5
CB,Center,Init,SVM,LDA,0.7398,0.7104,SVM,1.0,0.125,False,5
CB,Center,Init,SVM,Naive Bayes,0.7398,0.7091,SVM,0.0,0.0625,False,5
CB,Center,Init,SVM,Kalman,0.7398,0.7442,Kalman,7.0,1.0,False,5
CB,Center,Init,LDA,Naive Bayes,0.7104,0.7091,LDA,7.0,1.0,False,5
CB,Center,Init,LDA,Kalman,0.7104,0.7442,Kalman,0.0,0.0625,False,5
CB,Center,Init,Naive Bayes,Kalman,0.7091,0.7442,Kalman,0.0,0.0625,False,5
CB,Center,Reach,SVM,LDA,0.7801,0.729,SVM,0.0,0.0625,False,5
CB,Center,Reach,SVM,Naive Bayes,0.7801,0.7169,SVM,0.0,0.0625,False,5
CB,Center,Reach,SVM,Kalman,0.7801,0.7735,SVM,7.0,1.0,False,5
CB,Center,Reach,LDA,Naive Bayes,0.729,0.7169,LDA,4.0,0.4375,False,5
CB,Center,Reach,LDA,Kalman,0.729,0.7735,Kalman,0.0,0.0625,False,5
CB,Center,Reach,Naive Bayes,Kalman,0.7169,0.7735,Kalman,0.0,0.0625,False,5
CB,Non-dominant,Init,SVM,LDA,0.7733,0.7395,SVM,0.0,0.0625,False,5
CB,Non-dominant,Init,SVM,Naive Bayes,0.7733,0.7365,SVM,0.0,0.0625,False,5
CB,Non-dominant,Init,SVM,Kalman,0.7733,0.7704,SVM,4.0,0.4375,False,5
CB,Non-dominant,Init,LDA,Naive Bayes,0.7395,0.7365,LDA,7.0,1.0,False,5
CB,Non-dominant,Init,LDA,Kalman,0.7395,0.7704,Kalman,0.0,0.0625,False,5
CB,Non-dominant,Init,Naive Bayes,Kalman,0.7365,0.7704,Kalman,0.0,0.0625,False,5
CB,Non-dominant,Reach,SVM,LDA,0.828,0.778,SVM,0.0,0.0625,False,5
CB,Non-dominant,Reach,SVM,Naive Bayes,0.828,0.7737,SVM,0.0,0.0625,False,5
CB,Non-dominant,Reach,SVM,Kalman,0.828,0.8174,SVM,6.0,0.8125,False,5
CB,Non-dominant,Reach,LDA,Naive Bayes,0.778,0.7737,LDA,7.0,1.0,False,5
CB,Non-dominant,Reach,LDA,Kalman,0.778,0.8174,Kalman,0.0,0.0625,False,5
CB,Non-dominant,Reach,Naive Bayes,Kalman,0.7737,0.8174,Kalman,0.0,0.0625,False,5
