region,animal,decoder,contrast,alignment,n_sessions,mean_peak_BAC,sem_peak_BAC,W_stat,p_value,above_chance
BG,1_CoteDor,SVM,Push / Pull,Init,5,0.8739,0.0445,15.0,0.0312,True
BG,1_CoteDor,SVM,Push / Pull,Reach,5,0.8432,0.0167,15.0,0.0312,True
BG,1_CoteDor,SVM,Dominant,Init,5,0.8251,0.0344,15.0,0.0312,True
BG,1_CoteDor,SVM,Dominant,Reach,5,0.9404,0.014,15.0,0.0312,True
BG,1_CoteDor,SVM,Center,Init,5,0.7787,0.025,15.0,0.0312,True
BG,1_CoteDor,SVM,Center,Reach,5,0.7889,0.0111,15.0,0.0312,True
BG,1_CoteDor,SVM,Non-dominant,Init,5,0.7828,0.0325,15.0,0.0312,True
BG,1_CoteDor,SVM,Non-dominant,Reach,5,0.8883,0.0302,15.0,0.0312,True
BG,1_CoteDor,LDA,Push / Pull,Init,5,0.8346,0.0402,15.0,0.0312,True
BG,1_CoteDor,LDA,Push / Pull,Reach,5,0.729,0.0171,15.0,0.0312,True
BG,1_CoteDor,LDA,Dominant,Init,5,0.7306,0.0394,15.0,0.0312,True
BG,1_CoteDor,LDA,Dominant,Reach,5,0.8474,0.0251,15.0,0.0312,True
BG,1_CoteDor,LDA,Center,Init,5,0.6959,0.0198,15.0,0.0312,True
BG,1_CoteDor,LDA,Center,Reach,5,0.7038,0.0141,15.0,0.0312,True
BG,1_CoteDor,LDA,Non-dominant,Init,5,0.701,0.0213,15.0,0.0312,True
BG,1_CoteDor,LDA,Non-dominant,Reach,5,0.7716,0.0213,15.0,0.0312,True
BG,1_CoteDor,Naive Bayes,Push / Pull,Init,5,0.8853,0.0204,15.0,0.0312,True
BG,1_CoteDor,Naive Bayes,Push / Pull,Reach,5,0.7357,0.0236,15.0,0.0312,True
BG,1_CoteDor,Naive Bayes,Dominant,Init,5,0.7678,0.0257,15.0,0.0312,True
BG,1_CoteDor,Naive Bayes,Dominant,Reach,5,0.859,0.016,15.0,0.0312,True
BG,1_CoteDor,Naive Bayes,Center,Init,5,0.7168,0.0228,15.0,0.0312,True
BG,1_CoteDor,Naive Bayes,Center,Reach,5,0.7131,0.013,15.0,0.0312,True
BG,1_CoteDor,Naive Bayes,Non-dominant,Init,5,0.7367,0.0197,15.0,0.0312,True
BG,1_CoteDor,Naive Bayes,Non-dominant,Reach,5,0.8082,0.0247,15.0,0.0312,True
BG,1_CoteDor,Kalman,Push / Pull,Init,5,0.893,0.029,15.0,0.0312,True
BG,1_CoteDor,Kalman,Push / Pull,Reach,5,0.8183,0.0174,15.0,0.0312,True
BG,1_CoteDor,Kalman,Dominant,Init,5,0.8098,0.0231,15.0,0.0312,True
BG,1_CoteDor,Kalman,Dominant,Reach,5,0.9116,0.0171,15.0,0.0312,True
BG,1_CoteDor,Kalman,Center,Init,5,0.7585,0.0152,15.0,0.0312,True
BG,1_CoteDor,Kalman,Center,Reach,5,0.7737,0.0132,15.0,0.0312,True
BG,1_CoteDor,Kalman,Non-dominant,Init,5,0.7668,0.0298,15.0,0.0312,True
BG,1_CoteDor,Kalman,Non-dominant,Reach,5,0.8681,0.0255,15.0,0.0312,True
BG,2_Lindt,SVM,Push / Pull,Init,7,0.91,0.0108,28.0,0.0078,True
BG,2_Lindt,SVM,Push / Pull,Reach,7,0.8358,0.0228,28.0,0.0078,True
BG,2_Lindt,SVM,Dominant,Init,7,0.8915,0.0397,28.0,0.0078,True
BG,2_Lindt,SVM,Dominant,Reach,7,0.9746,0.0101,28.0,0.0078,True
BG,2_Lindt,SVM,Center,Init,7,0.8686,0.0282,28.0,0.0078,True
BG,2_Lindt,SVM,Center,Reach,7,0.8959,0.0272,28.0,0.0078,True
BG,2_Lindt,SVM,Non-dominant,Init,7,0.8694,0.0342,28.0,0.0078,True
BG,2_Lindt,SVM,Non-dominant,Reach,7,0.9442,0.0149,28.0,0.0078,True
BG,2_Lindt,LDA,Push / Pull,Init,7,0.8543,0.0218,28.0,0.0078,True
BG,2_Lindt,LDA,Push / Pull,Reach,7,0.7375,0.021,28.0,0.0078,True
BG,2_Lindt,LDA,Dominant,Init,7,0.7708,0.0428,28.0,0.0078,True
BG,2_Lindt,LDA,Dominant,Reach,7,0.8918,0.0106,28.0,0.0078,True
BG,2_Lindt,LDA,Center,Init,7,0.7382,0.0207,28.0,0.0078,True
BG,2_Lindt,LDA,Center,Reach,7,0.7888,0.0261,28.0,0.0078,True
BG,2_Lindt,LDA,Non-dominant,Init,7,0.7589,0.0391,28.0,0.0078,True
BG,2_Lindt,LDA,Non-dominant,Reach,7,0.8407,0.0239,28.0,0.0078,True
BG,2_Lindt,Naive Bayes,Push / Pull,Init,7,0.8699,0.0163,28.0,0.0078,True
